Index,Year,Suburb,OffenceType,CPI-Annual-Change
59598,2009,SAINT LUCIA,THEFT,VERY HIGH
59599,2009,SAINT LUCIA,THEFT,VERY HIGH
59600,2009,SAINT LUCIA,ASSAULT,VERY HIGH
59601,2009,SAINT LUCIA,THEFT,VERY HIGH
59602,2009,SAINT LUCIA,THEFT,VERY HIGH
59603,2009,SAINT LUCIA,THEFT,VERY HIGH
59604,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
59605,2009,SAINT LUCIA,THEFT,VERY HIGH
59606,2009,SAINT LUCIA,THEFT,VERY HIGH
59607,2009,SAINT LUCIA,THEFT,VERY HIGH
59608,2009,SAINT LUCIA,THEFT,VERY HIGH
59609,2009,SAINT LUCIA,THEFT,VERY HIGH
59610,2009,SAINT LUCIA,THEFT,VERY HIGH
59611,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59612,2009,SAINT LUCIA,THEFT,VERY HIGH
59613,2009,SAINT LUCIA,THEFT,VERY HIGH
59614,2009,SAINT LUCIA,THEFT,VERY HIGH
59615,2011,SAINT LUCIA,FRAUD,HIGH
59616,2009,SAINT LUCIA,THEFT,VERY HIGH
59617,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
59618,2009,SAINT LUCIA,THEFT,VERY HIGH
59619,2009,SAINT LUCIA,THEFT,VERY HIGH
59620,2009,SAINT LUCIA,FRAUD,VERY HIGH
59621,2009,SAINT LUCIA,THEFT,VERY HIGH
59622,2009,SAINT LUCIA,GOOD_ORDER,VERY HIGH
59623,2009,SAINT LUCIA,THEFT,VERY HIGH
59624,2009,SAINT LUCIA,THEFT,VERY HIGH
59625,2009,SAINT LUCIA,THEFT,VERY HIGH
59626,2009,SAINT LUCIA,THEFT,VERY HIGH
59627,2009,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,VERY HIGH
59628,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59629,2009,SAINT LUCIA,THEFT,VERY HIGH
59630,2009,SAINT LUCIA,THEFT,VERY HIGH
59631,2009,SAINT LUCIA,THEFT,VERY HIGH
59632,2009,SAINT LUCIA,THEFT,VERY HIGH
59633,2009,SAINT LUCIA,THEFT,VERY HIGH
59634,2009,SAINT LUCIA,THEFT,VERY HIGH
59635,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
59636,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59637,2009,SAINT LUCIA,THEFT,VERY HIGH
59638,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
59639,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59640,2009,SAINT LUCIA,THEFT,VERY HIGH
59641,2009,SAINT LUCIA,THEFT,VERY HIGH
59642,2009,SAINT LUCIA,THEFT,VERY HIGH
59643,2009,SAINT LUCIA,THEFT,VERY HIGH
59644,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
59645,2009,SAINT LUCIA,THEFT,VERY HIGH
59646,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59647,2009,SAINT LUCIA,THEFT,VERY HIGH
59648,2009,SAINT LUCIA,THEFT,VERY HIGH
59649,2009,SAINT LUCIA,THEFT,VERY HIGH
59650,2009,SAINT LUCIA,THEFT,VERY HIGH
59651,2009,SAINT LUCIA,THEFT,VERY HIGH
59652,2009,SAINT LUCIA,THEFT,VERY HIGH
59653,2009,SAINT LUCIA,THEFT,VERY HIGH
59654,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
59655,2009,SAINT LUCIA,THEFT,VERY HIGH
59656,2009,SAINT LUCIA,GOOD_ORDER,VERY HIGH
59657,2009,SAINT LUCIA,THEFT,VERY HIGH
59658,2009,SAINT LUCIA,THEFT,VERY HIGH
59659,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
59660,2009,SAINT LUCIA,THEFT,VERY HIGH
59661,2009,SAINT LUCIA,THEFT,VERY HIGH
59662,2009,SAINT LUCIA,THEFT,VERY HIGH
59663,2009,SAINT LUCIA,ASSAULT,VERY HIGH
59664,2009,SAINT LUCIA,THEFT,VERY HIGH
59665,2009,SAINT LUCIA,THEFT,VERY HIGH
59666,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59667,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59668,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59669,2009,SAINT LUCIA,PROPERTY_DAMAGE,VERY HIGH
59670,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59671,2009,SAINT LUCIA,THEFT,VERY HIGH
59672,2009,SAINT LUCIA,THEFT,VERY HIGH
59673,2009,SAINT LUCIA,THEFT,VERY HIGH
59674,2009,SAINT LUCIA,THEFT,VERY HIGH
59675,2009,SAINT LUCIA,THEFT,VERY HIGH
59676,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59677,2009,SAINT LUCIA,THEFT,VERY HIGH
59678,2009,SAINT LUCIA,THEFT,VERY HIGH
59679,2009,SAINT LUCIA,THEFT,VERY HIGH
59680,2009,SAINT LUCIA,THEFT,VERY HIGH
59681,2009,SAINT LUCIA,THEFT,VERY HIGH
59682,2009,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,VERY HIGH
59683,2009,SAINT LUCIA,THEFT,VERY HIGH
59684,2009,SAINT LUCIA,THEFT,VERY HIGH
59685,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59686,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59687,2009,SAINT LUCIA,FRAUD,VERY HIGH
59688,2009,SAINT LUCIA,THEFT,VERY HIGH
59689,2009,SAINT LUCIA,THEFT,VERY HIGH
59690,2009,SAINT LUCIA,THEFT,VERY HIGH
59691,2009,SAINT LUCIA,THEFT,VERY HIGH
59692,2009,SAINT LUCIA,THEFT,VERY HIGH
59693,2009,SAINT LUCIA,THEFT,VERY HIGH
59694,2009,SAINT LUCIA,THEFT,VERY HIGH
59695,2009,SAINT LUCIA,THEFT,VERY HIGH
59696,2009,SAINT LUCIA,UNLAWFUL_ENTRY,VERY HIGH
59697,2010,SAINT LUCIA,THEFT,MEDIUM
59698,2010,SAINT LUCIA,THEFT,MEDIUM
59699,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
59700,2010,SAINT LUCIA,ASSAULT,MEDIUM
59701,2010,SAINT LUCIA,THEFT,MEDIUM
59702,2010,SAINT LUCIA,THEFT,MEDIUM
59703,2010,SAINT LUCIA,THEFT,MEDIUM
59704,2010,SAINT LUCIA,PROPERTY_DAMAGE,MEDIUM
59705,2010,SAINT LUCIA,THEFT,MEDIUM
59706,2010,SAINT LUCIA,THEFT,MEDIUM
59707,2010,SAINT LUCIA,THEFT,MEDIUM
59708,2010,SAINT LUCIA,THEFT,MEDIUM
59709,2010,SAINT LUCIA,THEFT,MEDIUM
59710,2010,SAINT LUCIA,THEFT,MEDIUM
59711,2010,SAINT LUCIA,THEFT,MEDIUM
59712,2010,SAINT LUCIA,GOOD_ORDER,MEDIUM
59713,2010,SAINT LUCIA,THEFT,MEDIUM
59714,2010,SAINT LUCIA,THEFT,MEDIUM
59715,2010,SAINT LUCIA,THEFT,MEDIUM
59716,2010,SAINT LUCIA,THEFT,MEDIUM
59717,2010,SAINT LUCIA,THEFT,MEDIUM
59718,2010,SAINT LUCIA,THEFT,MEDIUM
59719,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
59720,2010,SAINT LUCIA,FRAUD,MEDIUM
59721,2010,SAINT LUCIA,THEFT,MEDIUM
59722,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
59723,2010,SAINT LUCIA,PROPERTY_DAMAGE,MEDIUM
59724,2010,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
59725,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
59726,2010,SAINT LUCIA,THEFT,MEDIUM
59727,2010,SAINT LUCIA,THEFT,MEDIUM
59728,2010,SAINT LUCIA,THEFT,MEDIUM
59729,2010,SAINT LUCIA,THEFT,MEDIUM
59730,2010,SAINT LUCIA,THEFT,MEDIUM
59731,2010,SAINT LUCIA,THEFT,MEDIUM
59732,2010,SAINT LUCIA,THEFT,MEDIUM
59733,2010,SAINT LUCIA,THEFT,MEDIUM
59734,2010,SAINT LUCIA,THEFT,MEDIUM
59735,2010,SAINT LUCIA,THEFT,MEDIUM
59736,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
59737,2010,SAINT LUCIA,THEFT,MEDIUM
59738,2010,SAINT LUCIA,THEFT,MEDIUM
59739,2010,SAINT LUCIA,ASSAULT,MEDIUM
59740,2010,SAINT LUCIA,THEFT,MEDIUM
59741,2010,SAINT LUCIA,THEFT,MEDIUM
59742,2010,SAINT LUCIA,THEFT,MEDIUM
